Province,Year,FDI
Ha Noi ,2015,902.729146
Ho Chi Minh ,2015,3663.037567
Binh Duong ,2015,2526.8
Dong Nai ,2015,1126.87298724
Bac Ninh ,2015,3128.646584
Hai Phong ,2015,759.7090000000001
Tay Ninh ,2015,447.46274700000004
Bac Giang ,2015,438.890629
Ba Ria - Vung Tau ,2015,651.8413230000001
Ha Nam ,2015,329.631353
Long An ,2015,540.579
Hai Duong ,2015,379.626605
Thai Nguyen ,2015,206.28932
Vinh Phuc ,2015,355.241514
Da Nang ,2015,43.975742
Hung Yen ,2015,260.259466
Binh Phuoc ,2015,256.209168
Tien Giang ,2015,90.804155
Thanh Hoa ,2015,43.478339
Phu Tho ,2015,93.82620499999999
Thua Thien Hue ,2015,115.66
Nghe An ,2015,173.63199999999998
Quang Ninh ,2015,407.183981
Phu Yen ,2015,33
Khanh Hoa ,2015,49.63822
Quang Nam ,2015,226.126736
Binh Thuan ,2015,78.7
Vinh Long ,2015,10.428057
Ninh Binh ,2015,39.985714
Quang Ngai ,2015,17.901809
Ninh Thuan ,2015,0.298321
Bac Lieu ,2015,5.399905
Soc Trang ,2015,12.8215
Tra Vinh ,2015,1805.136285
Binh Dinh ,2015,55.658857
Ca Mau ,2015,
Hau Giang ,2015,24.1
Can Tho ,2015,16.602541000000002
Thai Binh ,2015,44.282194000000004
An Giang ,2015,92.110893
Nam Dinh ,2015,94.98899999999999
Ben Tre ,2015,162.235754
Ha Tinh ,2015,140.509724
Lam Dong ,2015,5.691
Kien Giang ,2015,30.75
Quang Tri ,2015,0.60854
Tuyen Quang ,2015,3.000003
Dong Thap ,2015,10.115094
Yen Bai ,2015,58.396753000000004
Kon Tum ,2015,
Bac Kan ,2015,24115.005176660008
Dak Lak ,2015,25
Lang Son ,2015,
Dien Bien ,2015,
Lao Cai ,2015,
Quang Binh ,2015,15
Ha Giang ,2015,
Son La ,2015,
Dak Nong ,2015,
Cao Bang ,2015,
Lai Chau ,2015,
Hoa Binh ,2015,0.888889
Gia Lai ,2015,
Ha Noi ,2016,2367.207611222222
Ho Chi Minh ,2016,2989.909976852533
Binh Duong ,2016,2238.224549467568
Dong Nai ,2016,1010.0307522986112
Bac Ninh ,2016,822.9134404595111
Hai Phong ,2016,2794.444546091556
Tay Ninh ,2016,561.7736535385777
Bac Giang ,2016,899.9940074666666
Ba Ria - Vung Tau ,2016,415.7546541111111
Ha Nam ,2016,701.438508
Long An ,2016,705.032115
Hai Duong ,2016,414.5315215555556
Thai Nguyen ,2016,142.96153700000002
Vinh Phuc ,2016,304.3536402222222
Da Nang ,2016,90.181
Hung Yen ,2016,391.26443644444447
Binh Phuoc ,2016,97.26546515773333
Tien Giang ,2016,392.3913662222222
Thanh Hoa ,2016,198.86374866666665
Phu Tho ,2016,164.3520128888889
Thua Thien Hue ,2016,26.318006
Nghe An ,2016,70
Quang Ninh ,2016,531.7377525268889
Phu Yen ,2016,555.6255736666666
Khanh Hoa ,2016,54.01928988888889
Quang Nam ,2016,105.20266000000001
Binh Thuan ,2016,5.963503
Vinh Long ,2016,137.86489833333334
